CompanyName,OrderID,ProductName,Quantity,UnitPrice,TotalAfterDiscount
Antonio Moreno Taquería,10856,Singaporean Hokkien Fried Mee,20,14,$280.00
Around the Horn,10355,Guaraná Fantástica,25,3.6,$90.00
Around the Horn,10355,Ravioli Angelo,25,15.6,$390.00
Around the Horn,10383,Gnocchi di nonna Alice,20,30.4,$608.00
Around the Horn,10383,Konbu,20,4.8,$96.00
Around the Horn,10383,Valkoinen suklaa,15,13,$195.00
Around the Horn,10453,Chocolade,15,10.2,$137.70
Around the Horn,10453,Outback Lager,25,12,$270.00
Around the Horn,10558,Filo Mix,30,7,$210.00
Around the Horn,10558,Manjimup Dried Apples,20,53,$1060.00
Around the Horn,10558,Perth Pasties,18,32.8,$590.40
Around the Horn,10558,Röd Kaviar,3,15,$45.00
Around the Horn,10558,Zaanse koeken,25,9.5,$237.50
Around the Horn,10707,Outback Lager,28,15,$357.00
Around the Horn,10707,Pâté chinois,21,24,$504.00
Around the Horn,10707,Ravioli Angelo,40,19.5,$780.00
Around the Horn,10741,Chang,15,19,$228.00
Around the Horn,10743,Spegesild,28,12,$319.20
Around the Horn,10768,Camembert Pierrot,15,34,$510.00
Around the Horn,10768,Flotemysost,12,21.5,$258.00
Around the Horn,10768,Gorgonzola Telino,50,12.5,$625.00
Around the Horn,10768,Gustaf's Knäckebröd,4,21,$84.00
Around the Horn,10793,Filo Mix,8,7,$56.00
Around the Horn,10793,Jack's New England Clam Chowder,14,9.65,$135.10
Around the Horn,10864,Laughing Lumberjack Lager,15,14,$210.00
Around the Horn,10864,Steeleye Stout,4,18,$72.00
Around the Horn,10920,Valkoinen suklaa,24,16.25,$390.00
Around the Horn,10953,Gorgonzola Telino,50,12.5,$593.75
Around the Horn,10953,Sir Rodney's Marmalade,50,81,$3847.50
Around the Horn,11016,Gorgonzola Telino,15,12.5,$187.50
Around the Horn,11016,Inlagd Sill,16,19,$304.00
Berglunds snabbköp,10278,Gula Malacca,16,15.5,$248.00
Berglunds snabbköp,10278,Peanut Butter Cups,15,44,$660.00
Berglunds snabbköp,10278,Röd Kaviar,25,12,$300.00
Berglunds snabbköp,10278,Vegie-spread,8,35.1,$280.80
Berglunds snabbköp,10280,Guaraná Fantástica,12,3.6,$43.20
Berglunds snabbköp,10280,Pâté chinois,20,19.2,$384.00
Berglunds snabbköp,10280,Rhönbräu Klosterbier,30,6.2,$186.00
Berglunds snabbköp,10384,Camembert Pierrot,15,27.2,$408.00
Berglunds snabbköp,10384,Sir Rodney's Marmalade,28,64.8,$1814.40
Berglunds snabbköp,10444,Carnival Cotton Candy,10,31.2,$312.00
Berglunds snabbköp,10444,Gumbär Gummibärchen,15,24.9,$373.50
Berglunds snabbköp,10444,Jack's New England Clam Chowder,30,7.7,$231.00
Berglunds snabbköp,10444,Steeleye Stout,8,14.4,$115.20
Berglunds snabbköp,10445,Chartreuse verte,6,14.4,$86.40
Berglunds snabbköp,10445,Tourtière,15,5.9,$88.50
Berglunds snabbköp,10524,Ipoh Coffee,60,46,$2760.00
Berglunds snabbköp,10524,Nord-Ost Matjeshering,10,25.89,$258.90
Berglunds snabbköp,10524,Tourtière,15,7.45,$111.75
Berglunds snabbköp,10572,Boston Crab Meat,50,18.4,$920.00
Berglunds snabbköp,10572,Mascarpone Fabioli,10,32,$288.00
Berglunds snabbköp,10572,Pavlova,12,17.45,$188.46
Berglunds snabbköp,10572,Rhönbräu Klosterbier,15,7.75,$104.63
Berglunds snabbköp,10626,Camembert Pierrot,20,34,$680.00
Berglunds snabbköp,10626,Flotemysost,20,21.5,$430.00
Berglunds snabbköp,10626,Perth Pasties,12,32.8,$393.60
Berglunds snabbköp,10654,Chartreuse verte,20,18,$324.00
Berglunds snabbköp,10654,Chef Anton's Cajun Seasoning,12,22,$237.60
Berglunds snabbköp,10654,Tourtière,6,7.45,$40.23
Berglunds snabbköp,10672,Côte de Blaye Wines,15,263.5,$3557.25
Berglunds snabbköp,10672,Flotemysost,12,21.5,$258.00
Berglunds snabbköp,10689,Chai,35,18,$472.50
Berglunds snabbköp,10733,Filo Mix,25,7,$175.00
Berglunds snabbköp,10733,Rössle Sauerkraut,20,45.6,$912.00
Berglunds snabbköp,10733,Tofu,16,23.25,$372.00
Berglunds snabbköp,10778,Jack's New England Clam Chowder,10,9.65,$96.50
Berglunds snabbköp,10837,Boston Crab Meat,25,18.4,$460.00
Berglunds snabbköp,10837,Konbu,6,6,$36.00
Berglunds snabbköp,10837,Lakkalikööri,21,18,$283.50
Berglunds snabbköp,10837,Zaanse koeken,40,9.5,$285.00
Berglunds snabbköp,10857,Gumbär Gummibärchen,35,31.23,$819.79
Berglunds snabbköp,10857,Maple Syrup,30,10,$300.00
Berglunds snabbköp,10857,Thüringer Rostbratwurst,10,123.79,$928.43
Berglunds snabbköp,10866,Chang,21,19,$299.25
Berglunds snabbköp,10866,Guaraná Fantástica,6,4.5,$20.25
Berglunds snabbköp,10866,Nord-Ost Matjeshering,40,25.89,$776.70
Berglunds snabbköp,10875,Maxilaku,15,20,$300.00
Berglunds snabbköp,10875,Teatime Chocolate Biscuits,25,9.2,$230.00
Berglunds snabbköp,10875,Zaanse koeken,21,9.5,$179.55
Berglunds snabbköp,10924,Rhönbräu Klosterbier,6,7.75,$46.50
Berglunds snabbköp,10924,Rössle Sauerkraut,30,45.6,$1231.20
Blauer See Delikatessen,10501,Tourtière,20,7.45,$149.00
Blauer See Delikatessen,10509,Rössle Sauerkraut,3,45.6,$136.80
Blauer See Delikatessen,10582,Lakkalikööri,14,18,$252.00
Blauer See Delikatessen,10582,Ravioli Angelo,4,19.5,$78.00
Blauer See Delikatessen,10614,Chartreuse verte,5,18,$90.00
Blauer See Delikatessen,10614,Queso Cabrales,14,21,$294.00
Blauer See Delikatessen,10614,Sir Rodney's Scones,8,10,$80.00
Blauer See Delikatessen,10956,Manjimup Dried Apples,8,53,$424.00
Blauer See Delikatessen,10956,Sir Rodney's Scones,12,10,$120.00
Blauer See Delikatessen,10956,Zaanse koeken,14,9.5,$133.00
Blauer See Delikatessen,11058,Camembert Pierrot,21,34,$714.00
Blauer See Delikatessen,11058,Sir Rodney's Scones,3,10,$30.00
Blauer See Delikatessen,11058,Sirop d'érable,4,28.5,$114.00
Blondesddsl père et fils,10265,Carnival Cotton Candy,30,31.2,$936.00
Blondesddsl père et fils,10265,Outback Lager,20,12,$240.00
Blondesddsl père et fils,10297,Chartreuse verte,60,14.4,$864.00
Blondesddsl père et fils,10297,Mozzarella di Giovanni,20,27.8,$556.00
Blondesddsl père et fils,10360,Côte de Blaye Wines,10,210.8,$2108.00
Blondesddsl père et fils,10360,Maxilaku,35,16,$560.00
Blondesddsl père et fils,10360,Rössle Sauerkraut,30,36.4,$1092.00
Blondesddsl père et fils,10360,Thüringer Rostbratwurst,35,99,$3465.00
Blondesddsl père et fils,10360,Tourtière,28,5.9,$165.20
Blondesddsl père et fils,10436,Gnocchi di nonna Alice,40,30.4,$1094.40
Blondesddsl père et fils,10436,Rhönbräu Klosterbier,24,6.2,$133.92
Blondesddsl père et fils,10436,Spegesild,5,9.6,$48.00
Blondesddsl père et fils,10436,Wimmers gute Semmelknödel,30,26.6,$718.20
Blondesddsl père et fils,10449,Filo Mix,20,5.6,$112.00
Blondesddsl père et fils,10449,Tarte au sucre,35,39.4,$1379.00
Blondesddsl père et fils,10559,Jack's New England Clam Chowder,12,9.65,$110.01
Blondesddsl père et fils,10559,Pâté chinois,18,24,$410.40
Blondesddsl père et fils,10566,Carnarvon Tigers,18,62.5,$956.25
Blondesddsl père et fils,10566,Lakkalikööri,10,18,$180.00
Blondesddsl père et fils,10566,Queso Cabrales,35,21,$624.75
Blondesddsl père et fils,10584,Gorgonzola Telino,50,12.5,$593.75
Blondesddsl père et fils,10628,Chai,25,18,$450.00
Blondesddsl père et fils,10679,Peanut Butter Cups,12,55,$660.00
Blondesddsl père et fils,10826,Gorgonzola Telino,35,12.5,$437.50
Blondesddsl père et fils,10826,Ravioli Angelo,15,19.5,$292.50
Bólido Comidas preparadas,10326,Chef Anton's Cajun Seasoning,24,17.6,$422.40
Bólido Comidas preparadas,10326,Ravioli Angelo,16,15.6,$249.60
Bólido Comidas preparadas,10326,Rhönbräu Klosterbier,50,6.2,$310.00
Bólido Comidas preparadas,10801,Carnival Cotton Candy,40,39,$1170.00
Bólido Comidas preparadas,10801,Thüringer Rostbratwurst,20,123.79,$1856.85
Bólido Comidas preparadas,10970,Filo Mix,40,7,$224.00
Bon app',10331,Tourtière,15,5.9,$88.50
Bon app',10340,Carnarvon Tigers,20,50,$950.00
Bon app',10340,Ipoh Coffee,40,36.8,$1398.40
Bon app',10340,Jack's New England Clam Chowder,12,7.7,$87.78
Bon app',10362,Manjimup Dried Apples,20,42.4,$848.00
Bon app',10362,Tourtière,24,5.9,$141.60
Bon app',10470,Carnarvon Tigers,30,50,$1500.00
Bon app',10470,Tunnbröd,15,7.2,$108.00
Bon app',10470,Wimmers gute Semmelknödel,8,26.6,$212.80
Bon app',10511,Chef Anton's Cajun Seasoning,50,22,$935.00
Bon app',10511,Northwoods Cranberry Sauce,10,40,$340.00
Bon app',10511,Uncle Bob's Organic Dried Pears,50,30,$1275.00
Bon app',10525,Boston Crab Meat,15,18.4,$248.40
Bon app',10525,Inlagd Sill,30,19,$570.00
Bon app',10663,Boston Crab Meat,30,18.4,$524.40
Bon app',10663,Manjimup Dried Apples,20,53,$1007.00
Bon app',10663,Singaporean Hokkien Fried Mee,30,14,$399.00
Bon app',10715,Flotemysost,30,21.5,$645.00
Bon app',10730,Gorgonzola Telino,3,12.5,$35.63
Bon app',10730,Louisiana Fiery Hot Pepper Sauce,10,21.05,$199.98
Bon app',10730,Pavlova,15,17.45,$248.66
Bon app',10732,Lakkalikööri,20,18,$360.00
Bon app',10755,Gnocchi di nonna Alice,30,38,$855.00
Bon app',10755,Gudbrandsdalsost,25,36,$675.00
Bon app',10755,Ravioli Angelo,14,19.5,$204.75
Bon app',10755,Zaanse koeken,30,9.5,$213.75
Bon app',10827,Chartreuse verte,21,18,$378.00
Bon app',10871,Carnival Cotton Candy,16,39,$592.80
Bon app',10871,Grandma's Boysenberry Spread,50,25,$1187.50
Bon app',10871,Pavlova,12,17.45,$198.93
Bon app',10876,Spegesild,21,12,$252.00
Bon app',10876,Wimmers gute Semmelknödel,20,33.25,$665.00
Bon app',10932,Mozzarella di Giovanni,16,34.8,$556.80
Bon app',10932,Pavlova,30,17.45,$471.15
Bon app',10932,Rhönbräu Klosterbier,20,7.75,$139.50
Bon app',10932,Tarte au sucre,14,49.3,$621.18
Bon app',10940,Konbu,20,6,$120.00
Bon app',10940,Uncle Bob's Organic Dried Pears,8,30,$240.00
Bon app',11076,Grandma's Boysenberry Spread,20,25,$375.00
Bon app',11076,Teatime Chocolate Biscuits,10,9.2,$69.00
Bon app',11076,Tofu,20,23.25,$348.75
Bottom-Dollar Markets,10389,Outback Lager,30,12,$360.00
Bottom-Dollar Markets,10389,Pâté chinois,15,19.2,$288.00
Bottom-Dollar Markets,10389,Tarte au sucre,20,39.4,$788.00
Bottom-Dollar Markets,10410,Geitost,49,2,$98.00
Bottom-Dollar Markets,10410,Peanut Butter Cups,16,44,$704.00
Bottom-Dollar Markets,10411,Gula Malacca,40,15.5,$496.00
Bottom-Dollar Markets,10411,Jack's New England Clam Chowder,25,7.7,$154.00
Bottom-Dollar Markets,10411,Peanut Butter Cups,9,44,$316.80
Bottom-Dollar Markets,10431,Boston Crab Meat,50,14.7,$551.25
Bottom-Dollar Markets,10431,Carnival Cotton Candy,50,31.2,$1170.00
Bottom-Dollar Markets,10431,Zaanse koeken,30,7.6,$171.00
Bottom-Dollar Markets,10492,Singaporean Hokkien Fried Mee,20,11.2,$212.80
Bottom-Dollar Markets,10742,Camembert Pierrot,50,34,$1700.00
Bottom-Dollar Markets,10742,Maple Syrup,20,10,$200.00
Bottom-Dollar Markets,10742,Mozzarella di Giovanni,35,34.8,$1218.00
Bottom-Dollar Markets,10918,Camembert Pierrot,25,34,$637.50
Bottom-Dollar Markets,10918,Chai,60,18,$810.00
Bottom-Dollar Markets,10944,Gnocchi di nonna Alice,18,38,$684.00
Bottom-Dollar Markets,10944,Gula Malacca,18,19.45,$262.58
Bottom-Dollar Markets,10944,Queso Cabrales,5,21,$78.75
Bottom-Dollar Markets,10949,Carnival Cotton Candy,6,39,$234.00
Bottom-Dollar Markets,10949,Grandma's Boysenberry Spread,12,25,$300.00
Bottom-Dollar Markets,10949,Tarte au sucre,60,49.3,$2958.00
Bottom-Dollar Markets,10975,Northwoods Cranberry Sauce,16,40,$640.00
Bottom-Dollar Markets,10975,Rhönbräu Klosterbier,10,7.75,$77.50
Bottom-Dollar Markets,10982,Ipoh Coffee,9,46,$414.00
Bottom-Dollar Markets,10982,Uncle Bob's Organic Dried Pears,20,30,$600.00
Bottom-Dollar Markets,11027,Guaraná Fantástica,30,4.5,$101.25
Bottom-Dollar Markets,11027,Tarte au sucre,21,49.3,$776.48
Bottom-Dollar Markets,11045,Geitost,15,2.5,$37.50
Bottom-Dollar Markets,11045,Manjimup Dried Apples,24,53,$1272.00
Bottom-Dollar Markets,11048,Scottish Longbreads,42,12.5,$525.00
B's Beverages,10289,Maple Syrup,30,8,$240.00
B's Beverages,10289,Wimmers gute Semmelknödel,9,26.6,$239.40
B's Beverages,10471,Gnocchi di nonna Alice,20,30.4,$608.00
B's Beverages,10471,Uncle Bob's Organic Dried Pears,30,24,$720.00
B's Beverages,10484,Boston Crab Meat,10,14.7,$147.00
B's Beverages,10484,Manjimup Dried Apples,3,42.4,$127.20
B's Beverages,10484,Sir Rodney's Scones,14,8,$112.00
B's Beverages,10538,Mozzarella di Giovanni,1,34.8,$34.80
B's Beverages,10538,Outback Lager,7,15,$105.00
B's Beverages,10539,Geitost,15,2.5,$37.50
B's Beverages,10539,Konbu,8,6,$48.00
B's Beverages,10539,Maxilaku,6,20,$120.00
B's Beverages,10539,Sir Rodney's Scones,15,10,$150.00
B's Beverages,10578,Ravioli Angelo,6,19.5,$117.00
B's Beverages,10578,Steeleye Stout,20,18,$360.00
B's Beverages,10599,Tarte au sucre,10,49.3,$493.00
B's Beverages,10943,Gustaf's Knäckebröd,21,21,$441.00
B's Beverages,10943,Konbu,15,6,$90.00
B's Beverages,10943,Spegesild,15,12,$180.00
B's Beverages,10947,Peanut Butter Cups,4,55,$220.00
B's Beverages,11023,Ipoh Coffee,30,46,$1380.00
B's Beverages,11023,Uncle Bob's Organic Dried Pears,4,30,$120.00
Cactus Comidas para llevar,10521,Jack's New England Clam Chowder,10,9.65,$96.50
Cactus Comidas para llevar,10521,Scottish Longbreads,6,12.5,$75.00
Cactus Comidas para llevar,10521,Steeleye Stout,3,18,$54.00
Cactus Comidas para llevar,10782,Gorgonzola Telino,1,12.5,$12.50
Cactus Comidas para llevar,10819,Ipoh Coffee,7,46,$322.00
Cactus Comidas para llevar,10819,Rhönbräu Klosterbier,20,7.75,$155.00
Cactus Comidas para llevar,10881,Röd Kaviar,10,15,$150.00
Cactus Comidas para llevar,10937,Rössle Sauerkraut,8,45.6,$364.80
Cactus Comidas para llevar,10937,Sasquatch Ale,20,14,$280.00
Cactus Comidas para llevar,11054,Geitost,10,2.5,$25.00
Cactus Comidas para llevar,11054,Laughing Lumberjack Lager,20,14,$280.00
Centro comercial Moctezuma,10259,Gravad lax,1,20.8,$20.80
Centro comercial Moctezuma,10259,Sir Rodney's Scones,10,8,$80.00
Chop-suey Chinese,10254,Guaraná Fantástica,15,3.6,$45.90
Chop-suey Chinese,10254,Longlife Tofu,21,8,$168.00
Chop-suey Chinese,10254,Pâté chinois,21,19.2,$342.72
Chop-suey Chinese,10370,Chai,15,14.4,$183.60
Chop-suey Chinese,10370,Longlife Tofu,20,8,$136.00
Chop-suey Chinese,10370,Wimmers gute Semmelknödel,30,26.6,$798.00
Chop-suey Chinese,10519,Camembert Pierrot,10,34,$323.00
Chop-suey Chinese,10519,Gnocchi di nonna Alice,40,38,$1520.00
Chop-suey Chinese,10731,Manjimup Dried Apples,30,53,$1510.50
Chop-suey Chinese,10731,Sir Rodney's Scones,40,10,$380.00
Chop-suey Chinese,10746,Gudbrandsdalsost,40,36,$1440.00
Chop-suey Chinese,10746,Konbu,6,6,$36.00
Chop-suey Chinese,10746,Singaporean Hokkien Fried Mee,28,14,$392.00
Chop-suey Chinese,10746,Tarte au sucre,9,49.3,$443.70
Chop-suey Chinese,10966,Gnocchi di nonna Alice,12,38,$387.60
Chop-suey Chinese,10966,Gravad lax,8,26,$208.00
Chop-suey Chinese,10966,Tarte au sucre,12,49.3,$502.86
Chop-suey Chinese,11029,Gnocchi di nonna Alice,20,38,$760.00
Chop-suey Chinese,11029,Vegie-spread,12,43.9,$526.80
Chop-suey Chinese,11041,Chang,30,19,$456.00
Chop-suey Chinese,11041,Vegie-spread,30,43.9,$1317.00
Comércio Mineiro,10290,Chef Anton's Gumbo Mix,20,17,$340.00
Comércio Mineiro,10290,Maxilaku,15,16,$240.00
Comércio Mineiro,10290,Original Frankfurter grüne Soße,10,10.4,$104.00
Comércio Mineiro,10290,Thüringer Rostbratwurst,15,99,$1485.00
Comércio Mineiro,10466,Queso Cabrales,10,16.8,$168.00
Comércio Mineiro,10466,Spegesild,5,9.6,$48.00
Comércio Mineiro,10494,Gnocchi di nonna Alice,30,30.4,$912.00
Comércio Mineiro,10969,Spegesild,9,12,$108.00
Comércio Mineiro,11042,Gula Malacca,15,19.45,$291.75
Comércio Mineiro,11042,Sirop d'érable,4,28.5,$114.00
Consolidated Holdings,10435,Chang,10,15.2,$152.00
Consolidated Holdings,10435,Gustaf's Knäckebröd,12,16.8,$201.60
Consolidated Holdings,10435,Mozzarella di Giovanni,10,27.8,$278.00
Consolidated Holdings,10462,Konbu,1,4.8,$4.80
Consolidated Holdings,10462,Tunnbröd,21,7.2,$151.20
Consolidated Holdings,10848,Chef Anton's Gumbo Mix,30,21.35,$640.50
Consolidated Holdings,10848,Mishi Kobe Niku,3,97,$291.00
Die Wandernde Kuh,10301,Boston Crab Meat,10,14.7,$147.00
Die Wandernde Kuh,10301,Gnocchi di nonna Alice,20,30.4,$608.00
Die Wandernde Kuh,10312,Ipoh Coffee,24,36.8,$883.20
Die Wandernde Kuh,10312,Perth Pasties,20,26.2,$524.00
Die Wandernde Kuh,10312,Rhönbräu Klosterbier,10,6.2,$62.00
Die Wandernde Kuh,10312,Rössle Sauerkraut,4,36.4,$145.60
Die Wandernde Kuh,10348,Chai,15,14.4,$183.60
Die Wandernde Kuh,10348,Tunnbröd,25,7.2,$180.00
Die Wandernde Kuh,10356,Gorgonzola Telino,30,10,$300.00
Die Wandernde Kuh,10356,Gudbrandsdalsost,20,28.8,$576.00
Die Wandernde Kuh,10356,Pâté chinois,12,19.2,$230.40
Die Wandernde Kuh,10513,Mascarpone Fabioli,50,32,$1280.00
Die Wandernde Kuh,10513,Sir Rodney's Scones,40,10,$320.00
Die Wandernde Kuh,10513,Sirop d'érable,15,28.5,$342.00
Die Wandernde Kuh,10632,Chang,30,19,$541.50
Die Wandernde Kuh,10632,Geitost,20,2.5,$47.50
Die Wandernde Kuh,10640,Gudbrandsdalsost,20,36,$540.00
Die Wandernde Kuh,10640,Outback Lager,15,15,$168.75
Die Wandernde Kuh,10651,Gustaf's Knäckebröd,20,21,$315.00
Die Wandernde Kuh,10651,Teatime Chocolate Biscuits,12,9.2,$82.80
Die Wandernde Kuh,10668,Gorgonzola Telino,8,12.5,$90.00
Die Wandernde Kuh,10668,Pâté chinois,4,24,$86.40
Die Wandernde Kuh,10668,Wimmers gute Semmelknödel,15,33.25,$448.88
Die Wandernde Kuh,11046,Mascarpone Fabioli,15,32,$456.00
Die Wandernde Kuh,11046,Queso Manchego La Pastora,20,38,$722.00
Die Wandernde Kuh,11046,Steeleye Stout,18,18,$307.80
Drachenblut Delikatessen,10363,Gorgonzola Telino,20,10,$200.00
Drachenblut Delikatessen,10363,Lakkalikööri,12,14.4,$172.80
Drachenblut Delikatessen,10363,Rhönbräu Klosterbier,12,6.2,$74.40
Drachenblut Delikatessen,10391,Konbu,18,4.8,$86.40
Drachenblut Delikatessen,10797,Queso Cabrales,20,21,$420.00
Drachenblut Delikatessen,10825,Gumbär Gummibärchen,12,31.23,$374.76
Drachenblut Delikatessen,10825,Perth Pasties,20,32.8,$656.00
Drachenblut Delikatessen,11036,Konbu,7,6,$42.00
Drachenblut Delikatessen,11036,Peanut Butter Cups,30,55,$1650.00
Drachenblut Delikatessen,11067,Jack's New England Clam Chowder,9,9.65,$86.85
Du monde entier,10311,Gudbrandsdalsost,7,28.8,$201.60
Du monde entier,10311,Singaporean Hokkien Fried Mee,6,11.2,$67.20
Du monde entier,10609,Chai,3,18,$54.00
Du monde entier,10609,Sir Rodney's Scones,6,10,$60.00
Du monde entier,10683,Filo Mix,9,7,$63.00
Du monde entier,10890,Carnival Cotton Candy,15,39,$585.00
Du monde entier,10890,Jack's New England Clam Chowder,14,9.65,$135.10
Du monde entier,10890,Sasquatch Ale,10,14,$140.00
Eastern Connection,10364,Flotemysost,5,17.2,$86.00
Eastern Connection,10364,Gudbrandsdalsost,30,28.8,$864.00
Eastern Connection,10400,Maxilaku,30,16,$480.00
Eastern Connection,10400,Steeleye Stout,35,14.4,$504.00
Eastern Connection,10400,Thüringer Rostbratwurst,21,99,$2079.00
Eastern Connection,10532,Louisiana Hot Spiced Okra,24,17,$408.00
Eastern Connection,10532,Nord-Ost Matjeshering,15,25.89,$388.35
Eastern Connection,10726,Chef Anton's Cajun Seasoning,25,22,$550.00
Eastern Connection,10726,Queso Cabrales,5,21,$105.00
Eastern Connection,10987,Ipoh Coffee,6,46,$276.00
Eastern Connection,10987,Mozzarella di Giovanni,20,34.8,$696.00
Eastern Connection,10987,Uncle Bob's Organic Dried Pears,60,30,$1800.00
Eastern Connection,11024,Flotemysost,50,21.5,$1075.00
Eastern Connection,11024,Geitost,30,2.5,$75.00
Eastern Connection,11024,Gumbär Gummibärchen,12,31.23,$374.76
Eastern Connection,11024,Louisiana Fiery Hot Pepper Sauce,21,21.05,$442.05
Eastern Connection,11047,Chai,25,18,$337.50
Eastern Connection,11047,Chef Anton's Gumbo Mix,30,21.35,$480.38
Eastern Connection,11056,Camembert Pierrot,50,34,$1700.00
Eastern Connection,11056,Pâté chinois,35,24,$840.00
Eastern Connection,11056,Uncle Bob's Organic Dried Pears,40,30,$1200.00
Ernst Handel,10258,Chang,50,15.2,$608.00
Ernst Handel,10258,Chef Anton's Gumbo Mix,65,17,$884.00
Ernst Handel,10258,Mascarpone Fabioli,6,25.6,$122.88
Ernst Handel,10263,Guaraná Fantástica,28,3.6,$100.80
Ernst Handel,10263,Longlife Tofu,36,8,$216.00
Ernst Handel,10263,Nord-Ost Matjeshering,60,20.7,$931.50
Ernst Handel,10263,Pavlova,60,13.9,$625.50
Ernst Handel,10351,Côte de Blaye Wines,20,210.8,$4005.20
Ernst Handel,10351,Gula Malacca,77,15.5,$1133.83
Ernst Handel,10351,Jack's New England Clam Chowder,13,7.7,$100.10
Ernst Handel,10351,Louisiana Fiery Hot Pepper Sauce,10,16.8,$159.60
Ernst Handel,10368,Ravioli Angelo,25,15.6,$390.00
Ernst Handel,10368,Rössle Sauerkraut,13,36.4,$425.88
Ernst Handel,10368,Sir Rodney's Scones,5,8,$36.00
Ernst Handel,10368,Wimmers gute Semmelknödel,35,26.6,$837.90
Ernst Handel,10382,Carnarvon Tigers,9,50,$450.00
Ernst Handel,10382,Chef Anton's Gumbo Mix,32,17,$544.00
Ernst Handel,10382,Geitost,60,2,$120.00
Ernst Handel,10382,Longlife Tofu,50,8,$400.00
Ernst Handel,10382,Thüringer Rostbratwurst,14,99,$1386.00
Ernst Handel,10390,Gorgonzola Telino,60,10,$540.00
Ernst Handel,10390,Mozzarella di Giovanni,24,27.8,$600.48
Ernst Handel,10390,Spegesild,45,9.6,$432.00
Ernst Handel,10390,Steeleye Stout,40,14.4,$518.40
Ernst Handel,10402,Tunnbröd,60,7.2,$432.00
Ernst Handel,10402,Vegie-spread,65,35.1,$2281.50
Ernst Handel,10403,Chocolade,70,10.2,$606.90
Ernst Handel,10403,Pavlova,21,13.9,$248.12
Ernst Handel,10430,Carnival Cotton Candy,45,31.2,$1123.20
Ernst Handel,10430,Gnocchi di nonna Alice,30,30.4,$912.00
Ernst Handel,10430,Peanut Butter Cups,70,44,$2464.00
Ernst Handel,10430,Sir Rodney's Scones,50,8,$400.00
Ernst Handel,10442,Louisiana Hot Spiced Okra,60,13.6,$816.00
Ernst Handel,10442,Queso Cabrales,30,16.8,$504.00
Ernst Handel,10442,Tourtière,80,5.9,$472.00
Ernst Handel,10514,Gnocchi di nonna Alice,70,38,$2660.00
Ernst Handel,10514,Louisiana Fiery Hot Pepper Sauce,39,21.05,$820.95
Ernst Handel,10514,Rhönbräu Klosterbier,50,7.75,$387.50
